P_NAME,P_HABZONE,P_TYPE_TEMP
11 Com b,0,Hot
11 UMi b,0,Hot
14 And b,0,Hot
14 Her b,0,Cold
16 Cyg B b,2,Warm
18 Del b,0,Hot
1RXS J160929.1-210524 b,0,
24 Boo b,0,Hot
24 Sex b,0,Hot
24 Sex c,0,Hot
2MASS J01225093-2439505 b,0,
2MASS J02192210-3925225 b,0,Cold
2MASS J04414489+2301513 b,0,
2MASS J12073346-3932539 b,0,
2MASS J19383260+4603591 b,0,
2MASS J21402931+1625183 A b,0,Cold
2MASS J22362452+4751425 b,0,
30 Ari B b,0,Hot
4 UMa b,0,Hot
42 Dra b,0,Hot
47 UMa b,2,Warm
47 UMa c,0,Cold
47 UMa d,0,Cold
51 Eri b,0,
51 Peg b,0,Hot
55 Cnc b,0,Hot
55 Cnc c,0,Hot
55 Cnc d,0,Cold
55 Cnc e,0,Hot
55 Cnc f,2,Warm
6 Lyn b,0,Hot
61 Vir b,0,Hot
61 Vir c,0,Hot
61 Vir d,0,Hot
7 CMa b,2,Warm
70 Vir b,0,Hot
75 Cet b,0,Hot
8 UMi b,0,Hot
81 Cet b,0,Hot
91 Aqr b,0,Hot
AB Pic b,0,
alf Ari b,0,Hot
alf Tau b,0,Hot
BD+03 2562 b,0,Hot
BD+14 4559 b,2,Warm
BD+15 2375 b,0,Hot
BD+15 2940 b,0,Hot
BD+20 2457 b,0,Hot
BD+20 2457 c,0,Hot
BD+20 274 b,0,Hot
BD+20 594 b,0,Hot
BD+48 738 b,0,Hot
BD+48 740 b,0,Hot
BD+49 828 b,0,Hot
BD-06 1339 b,0,Hot
BD-06 1339 c,2,Warm
BD-08 2823 b,0,Hot
BD-08 2823 c,2,Warm
BD-10 3166 b,0,Hot
BD-11 4672 b,0,Cold
BD-13 2130 b,0,Hot
BD-17 63 b,0,Cold
bet Cnc b,0,Hot
bet Pic b,0,
bet Pic c,0,
bet UMi b,0,Hot
CFBDSIR J145829+101343 b,0,Cold
CHXR 73 b,0,
CI Tau b,0,
CoRoT-1 b,0,Hot
CoRoT-10 b,0,Hot
CoRoT-11 b,0,Hot
CoRoT-12 b,0,Hot
CoRoT-13 b,0,Hot
CoRoT-14 b,0,Hot
CoRoT-16 b,0,Hot
CoRoT-17 b,0,Hot
CoRoT-18 b,0,Hot
CoRoT-19 b,0,Hot
CoRoT-2 b,0,Hot
